kd_kab,total,COMPLETED BY Admin Kabupaten,prov_id,name,time_stamp,type,EDITED BY Admin Kabupaten,OPEN,SUBMITTED BY Pencacah,REVOKED BY Admin Kabupaten,APPROVED BY Pengawas,REJECTED BY Pengawas,EDITED BY Admin Pusat,assigned,have-not-assigned
9705,1.0,1.0,97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 08:26:40,progress,,,,,,,,,
9708,1.0,,97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 08:26:40,progress,,1.0,,,,,,,
9471,27.0,27.0,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 08:26:40,progress,,,,,,,,,
9403,12.0,6.0,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 08:26:40,progress,,6.0,,,,,,,
9426,7.0,7.0,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 08:26:40,progress,,,,,,,,,
9409,5.0,2.0,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 08:26:40,progress,,3.0,,,,,,,
9408,4.0,2.0,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 08:26:40,progress,,2.0,,,,,,,
9420,2.0,2.0,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 08:26:40,progress,,,,,,,,,
9419,1.0,1.0,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 08:26:40,progress,,,,,,,,,
9601,48.0,24.0,96,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 08:26:41,progress,,24.0,,,,,,,
9604,2.0,,96,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 08:26:41,progress,,2.0,,,,,,,
9501,32.0,21.0,95,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 08:26:41,progress,,11.0,,,,,,,
9502,6.0,4.0,95,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 08:26:41,progress,,2.0,,,,,,,
9504,2.0,1.0,95,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 08:26:41,progress,,1.0,,,,,,,
9408,1.0,1.0,94,SURVEI TRIWULANAN PELAKU USAHA,2026-03-10 08:26:41,progress,,,,,,,,,
9471,42.0,,94,IMK Triwulanan 2026 - LISTING,2026-03-10 08:26:41,progress,,42.0,,,,,,,
9403,28.0,,94,IMK Triwulanan 2026 - LISTING,2026-03-10 08:26:41,progress,,28.0,,,,,,,
9427,21.0,,94,IMK Triwulanan 2026 - LISTING,2026-03-10 08:26:41,progress,,21.0,,,,,,,
9409,18.0,,94,IMK Triwulanan 2026 - LISTING,2026-03-10 08:26:41,progress,,18.0,,,,,,,
9408,16.0,,94,IMK Triwulanan 2026 - LISTING,2026-03-10 08:26:41,progress,,16.0,,,,,,,
9420,14.0,,94,IMK Triwulanan 2026 - LISTING,2026-03-10 08:26:41,progress,,14.0,,,,,,,
9426,9.0,,94,IMK Triwulanan 2026 - LISTING,2026-03-10 08:26:41,progress,,9.0,,,,,,,
9419,8.0,,94,IMK Triwulanan 2026 - LISTING,2026-03-10 08:26:41,progress,,8.0,,,,,,,
9428,4.0,,94,IMK Triwulanan 2026 - LISTING,2026-03-10 08:26:41,progress,,4.0,,,,,,,
9501,35.0,,95,IMK Triwulanan 2026 - LISTING,2026-03-10 08:26:41,progress,,35.0,,,,,,,
9502,28.0,,95,IMK Triwulanan 2026 - LISTING,2026-03-10 08:26:41,progress,,28.0,,,,,,,
9503,24.0,,95,IMK Triwulanan 2026 - LISTING,2026-03-10 08:26:41,progress,,24.0,,,,,,,
9504,18.0,,95,IMK Triwulanan 2026 - LISTING,2026-03-10 08:26:41,progress,,18.0,,,,,,,
9604,56.0,,96,IMK Triwulanan 2026 - LISTING,2026-03-10 08:26:41,progress,,56.0,,,,,,,
9601,44.0,,96,IMK Triwulanan 2026 - LISTING,2026-03-10 08:26:41,progress,,44.0,,,,,,,
9603,29.0,,96,IMK Triwulanan 2026 - LISTING,2026-03-10 08:26:41,progress,,29.0,,,,,,,
9605,15.0,,96,IMK Triwulanan 2026 - LISTING,2026-03-10 08:26:41,progress,,15.0,,,,,,,
9608,14.0,,96,IMK Triwulanan 2026 - LISTING,2026-03-10 08:26:41,progress,,14.0,,,,,,,
9602,4.0,,96,IMK Triwulanan 2026 - LISTING,2026-03-10 08:26:41,progress,,4.0,,,,,,,
9606,4.0,,96,IMK Triwulanan 2026 - LISTING,2026-03-10 08:26:41,progress,,4.0,,,,,,,
9702,41.0,,97,IMK Triwulanan 2026 - LISTING,2026-03-10 08:26:41,progress,,41.0,,,,,,,
9704,8.0,,97,IMK Triwulanan 2026 - LISTING,2026-03-10 08:26:41,progress,,8.0,,,,,,,
9703,6.0,,97,IMK Triwulanan 2026 - LISTING,2026-03-10 08:26:41,progress,,6.0,,,,,,,
9707,4.0,,97,IMK Triwulanan 2026 - LISTING,2026-03-10 08:26:41,progress,,4.0,,,,,,,
9708,4.0,,97,IMK Triwulanan 2026 - LISTING,2026-03-10 08:26:41,progress,,4.0,,,,,,,
9706,2.0,,97,IMK Triwulanan 2026 - LISTING,2026-03-10 08:26:41,progress,,2.0,,,,,,,
