kd_kab,total,OPEN,prov_id,name,time_stamp,type,APPROVED BY ADMIN KABUPATEN,COMPLETED BY Admin Kabupaten,EDITED BY Admin Kabupaten,REVOKED BY Admin Kabupaten,APPROVED BY Pengawas,REJECTED BY Pengawas,SUBMITTED BY Pencacah,APPROVED BY ADMIN PROVINSI,APPROVED BY PENGAWAS,COMPLETED BY ADMIN PROVINSI,DRAFT,SUBMITTED RESPONDENT,APPROVED BY Admin Kabupaten,EDITED BY Admin Pusat,assigned,have-not-assigned
9426,8.0,,94,SURVEI CAPTIVE POWER 2025,2026-02-23 08:46:26,progress,8.0,,,,,,,,,,,,,,,
9420,7.0,,94,SURVEI CAPTIVE POWER 2025,2026-02-23 08:46:26,progress,6.0,,,,,,,1.0,,,,,,,,
9427,4.0,,94,SURVEI CAPTIVE POWER 2025,2026-02-23 08:46:26,progress,4.0,,,,,,,,,,,,,,,
9428,2.0,,94,SURVEI CAPTIVE POWER 2025,2026-02-23 08:46:26,progress,,,,,,,,,2.0,,,,,,,
9604,21.0,21.0,96,SURVEI CAPTIVE POWER 2025,2026-02-23 08:46:26,progress,,,,,,,,,,,,,,,,
9601,14.0,,96,SURVEI CAPTIVE POWER 2025,2026-02-23 08:46:26,progress,14.0,,,,,,,,,,,,,,,
9603,6.0,,96,SURVEI CAPTIVE POWER 2025,2026-02-23 08:46:26,progress,6.0,,,,,,,,,,,,,,,
9605,6.0,,96,SURVEI CAPTIVE POWER 2025,2026-02-23 08:46:26,progress,6.0,,,,,,,,,,,,,,,
9607,2.0,,96,SURVEI CAPTIVE POWER 2025,2026-02-23 08:46:26,progress,2.0,,,,,,,,,,,,,,,
9602,1.0,1.0,96,SURVEI CAPTIVE POWER 2025,2026-02-23 08:46:26,progress,,,,,,,,,,,,,,,,
9606,1.0,,96,SURVEI CAPTIVE POWER 2025,2026-02-23 08:46:26,progress,1.0,,,,,,,,,,,,,,,
9608,1.0,,96,SURVEI CAPTIVE POWER 2025,2026-02-23 08:46:26,progress,1.0,,,,,,,,,,,,,,,
9702,32.0,,97,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-23 08:46:26,progress,30.0,,,,,,,,,2.0,,,,,,
9703,4.0,,97,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-23 08:46:26,progress,4.0,,,,,,,,,,,,,,,
