kd_kab,total,COMPLETED BY Admin Kabupaten,prov_id,name,time_stamp,type,EDITED BY Admin Kabupaten,OPEN,APPROVED BY Pengawas,REJECTED BY Pengawas,SUBMITTED BY Pencacah,assigned,have-not-assigned
9501,45,,95,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:05,user_assignment,,,,,,35.0,10.0
9502,28,,95,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:05,user_assignment,,,,,,0.0,28.0
9504,18,,95,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:05,user_assignment,,,,,,0.0,18.0
9604,870,,96,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:06,user_assignment,,,,,,870.0,0.0
9605,87,,96,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:06,user_assignment,,,,,,81.0,6.0
9601,85,,96,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:06,user_assignment,,,,,,85.0,0.0
9603,33,,96,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:06,user_assignment,,,,,,28.0,5.0
9608,14,,96,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:06,user_assignment,,,,,,14.0,0.0
9602,4,,96,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:06,user_assignment,,,,,,4.0,0.0
9606,4,,96,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:06,user_assignment,,,,,,3.0,1.0
9702,750,,97,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:06,user_assignment,,,,,,750.0,0.0
9707,545,,97,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:06,user_assignment,,,,,,545.0,0.0
9704,8,,97,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:06,user_assignment,,,,,,0.0,8.0
9703,6,,97,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:06,user_assignment,,,,,,6.0,0.0
9708,4,,97,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:06,user_assignment,,,,,,0.0,4.0
9706,2,,97,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:06,user_assignment,,,,,,0.0,2.0
9701,1,,97,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:06,user_assignment,,,,,,0.0,1.0
