prov_id,name,time_stamp,type,kd_kab,total,COMPLETED BY Admin Kabupaten,APPROVED BY Pengawas,EDITED BY Admin Kabupaten,OPEN,REVOKED BY Admin Kabupaten,REJECTED BY Pengawas,APPROVED BY ADMIN KABUPATEN,APPROVED BY ADMIN PROVINSI,APPROVED BY PENGAWAS,COMPLETED BY ADMIN PROVINSI,APPROVED BY Admin Kabupaten,DRAFT,SUBMITTED RESPONDENT,SUBMITTED BY Pencacah,EDITED BY Admin Pusat,assigned,have-not-assigned
94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-27 10:20:46,progress,9419,1.0,1.0,,,,,,,,,,,,,,,,
96,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-27 10:20:45,progress,9601,64.0,40.0,,,24.0,,,,,,,,,,,,,
96,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-27 10:20:45,progress,9608,7.0,7.0,,,,,,,,,,,,,,,,
96,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-27 10:20:45,progress,9604,4.0,1.0,1.0,,2.0,,,,,,,,,,,,,
96,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-27 10:20:45,progress,9607,3.0,3.0,,,,,,,,,,,,,,,,
95,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-27 10:20:46,progress,9501,47.0,36.0,,,11.0,,,,,,,,,,,,,
95,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-27 10:20:46,progress,9502,12.0,10.0,,,2.0,,,,,,,,,,,,,
95,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-27 10:20:46,progress,9504,2.0,1.0,,,1.0,,,,,,,,,,,,,
95,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-27 10:20:46,progress,9503,1.0,1.0,,,,,,,,,,,,,,,,
94,SURVEI TAHUNAN PERUSAHAAN PERTAMBANGAN NON MINYAK DAN GAS TAHUN 2025,2026-02-27 10:20:46,progress,9419,2.0,,,,,,,2.0,,,,,,,,,,
94,SURVEI TRIWULANAN PELAKU USAHA,2026-02-27 10:20:46,progress,9408,1.0,1.0,,,,,,,,,,,,,,,,
97,SURVEI CAPTIVE POWER 2025,2026-02-27 10:20:47,progress,9702,9.0,,,,,,,9.0,,,,,,,,,,
97,SURVEI CAPTIVE POWER 2025,2026-02-27 10:20:47,progress,9704,4.0,,,,,,,4.0,,,,,,,,,,
97,SURVEI CAPTIVE POWER 2025,2026-02-27 10:20:47,progress,9707,4.0,,,,,,,4.0,,,,,,,,,,
97,SURVEI CAPTIVE POWER 2025,2026-02-27 10:20:47,progress,9701,2.0,,,,,,,2.0,,,,,,,,,,
97,SURVEI CAPTIVE POWER 2025,2026-02-27 10:20:47,progress,9703,2.0,,,,,,,2.0,,,,,,,,,,
97,SURVEI CAPTIVE POWER 2025,2026-02-27 10:20:47,progress,9708,2.0,,,,,,,,2.0,,,,,,,,,
97,SURVEI CAPTIVE POWER 2025,2026-02-27 10:20:47,progress,9706,1.0,,,,,,,,1.0,,,,,,,,,
94,SURVEI CAPTIVE POWER 2025,2026-02-27 10:20:47,progress,9471,62.0,,,,,,,62.0,,,,,,,,,,
94,SURVEI CAPTIVE POWER 2025,2026-02-27 10:20:47,progress,9403,52.0,,,,,,,52.0,,,,,,,,,,
94,SURVEI CAPTIVE POWER 2025,2026-02-27 10:20:47,progress,9409,35.0,,,,,,,35.0,,,,,,,,,,
94,SURVEI CAPTIVE POWER 2025,2026-02-27 10:20:47,progress,9419,16.0,,,,16.0,,,,,,,,,,,,,
94,SURVEI CAPTIVE POWER 2025,2026-02-27 10:20:47,progress,9408,13.0,,,,7.0,,,,,6.0,,,,,,,,
94,SURVEI CAPTIVE POWER 2025,2026-02-27 10:20:47,progress,9426,8.0,,,,,,,8.0,,,,,,,,,,
94,SURVEI CAPTIVE POWER 2025,2026-02-27 10:20:47,progress,9420,7.0,,,,,,,6.0,1.0,,,,,,,,,
94,SURVEI CAPTIVE POWER 2025,2026-02-27 10:20:47,progress,9427,4.0,,,,,,,4.0,,,,,,,,,,
94,SURVEI CAPTIVE POWER 2025,2026-02-27 10:20:47,progress,9428,2.0,,,,,,,,,2.0,,,,,,,,
96,SURVEI CAPTIVE POWER 2025,2026-02-27 10:20:47,progress,9604,21.0,,,,21.0,,,,,,,,,,,,,
96,SURVEI CAPTIVE POWER 2025,2026-02-27 10:20:47,progress,9601,14.0,,,,,,,14.0,,,,,,,,,,
96,SURVEI CAPTIVE POWER 2025,2026-02-27 10:20:47,progress,9603,6.0,,,,,,,6.0,,,,,,,,,,
96,SURVEI CAPTIVE POWER 2025,2026-02-27 10:20:47,progress,9605,6.0,,,,,,,6.0,,,,,,,,,,
96,SURVEI CAPTIVE POWER 2025,2026-02-27 10:20:47,progress,9607,2.0,,,,,,,2.0,,,,,,,,,,
96,SURVEI CAPTIVE POWER 2025,2026-02-27 10:20:47,progress,9602,1.0,,,,1.0,,,,,,,,,,,,,
96,SURVEI CAPTIVE POWER 2025,2026-02-27 10:20:47,progress,9606,1.0,,,,,,,1.0,,,,,,,,,,
96,SURVEI CAPTIVE POWER 2025,2026-02-27 10:20:47,progress,9608,1.0,,,,,,,1.0,,,,,,,,,,
97,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-27 10:20:47,progress,9702,32.0,,,,,,,30.0,,,2.0,,,,,,,
97,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-27 10:20:47,progress,9703,4.0,,,,,,,4.0,,,,,,,,,,
94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-27 10:20:47,progress,9408,74.0,,,,74.0,,,,,,,,,,,,,
94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-27 10:20:47,progress,9403,59.0,,,,,,,59.0,,,,,,,,,,
94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-27 10:20:47,progress,9420,19.0,,,,17.0,,,1.0,,1.0,,,,,,,,
94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-27 10:20:47,progress,9428,15.0,,,,,,,15.0,,,,,,,,,,
94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-27 10:20:47,progress,9426,13.0,,,,,,,13.0,,,,,,,,,,
94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-27 10:20:47,progress,9471,11.0,,,,,,,11.0,,,,,,,,,,
94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-27 10:20:47,progress,9419,10.0,,,,10.0,,,,,,,,,,,,,
94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-27 10:20:47,progress,9409,6.0,,,,6.0,,,,,,,,,,,,,
96,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-27 10:20:47,progress,9604,8.0,,,,8.0,,,,,,,,,,,,,
96,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-27 10:20:47,progress,9601,5.0,,,,,,,5.0,,,,,,,,,,
94,SURVEI TRIWULANAN PERUSAHAAN PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI 2025,2026-02-27 10:20:47,progress,9420,1.0,,,,,,,,1.0,,,,,,,,,
94,SURVEI TRIWULANAN PERUSAHAAN PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI 2025,2026-02-27 10:20:47,progress,9471,1.0,,,,,,,,1.0,,,,,,,,,
94,SURVEI TAHUNAN PERUSAHAAN AIR BERSIH TAHUN 2025 ,2026-02-27 10:20:47,progress,9408,1.0,,,,1.0,,,,,,,,,,,,,
94,SURVEI TAHUNAN PERUSAHAAN AIR BERSIH TAHUN 2025 ,2026-02-27 10:20:47,progress,9409,1.0,,,,,,,1.0,,,,,,,,,,
94,SURVEI TAHUNAN PERUSAHAAN AIR BERSIH TAHUN 2025 ,2026-02-27 10:20:47,progress,9471,1.0,,,,,,,1.0,,,,,,,,,,
97,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR 2024 (STPIM),2026-02-27 10:20:47,progress,9702,4.0,,4.0,,,,,,,,,,,,,,,
95,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR 2024 (STPIM),2026-02-27 10:20:47,progress,9501,5.0,,,,,,,,,,,5.0,,,,,,
95,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR 2024 (STPIM),2026-02-27 10:20:47,progress,9502,3.0,,,,1.0,,,,,,,2.0,,,,,,
94,SURVEI TAHUNAN PERUSAHAAN INDUSTRI MANUFAKTUR 2024 (STPIM),2026-02-27 10:20:47,progress,9471,6.0,,,,,,,,,,,6.0,,,,,,
