kd_kab,total,COMPLETED BY Admin Kabupaten,OPEN,prov_id,name,time_stamp,type,EDITED BY Admin Kabupaten,REVOKED BY Admin Kabupaten,APPROVED BY Pengawas,REJECTED BY Pengawas,SUBMITTED BY Pencacah,EDITED BY Admin Pusat,assigned,have-not-assigned
9504,18.0,,18.0,95,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:28,progress,,,,,,,,
9604,56.0,,56.0,96,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:28,progress,,,,,,,,
9601,44.0,,44.0,96,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:28,progress,,,,,,,,
9603,29.0,,29.0,96,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:28,progress,,,,,,,,
9605,15.0,,15.0,96,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:28,progress,,,,,,,,
9608,14.0,,14.0,96,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:28,progress,,,,,,,,
9602,4.0,,4.0,96,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:28,progress,,,,,,,,
9606,4.0,,4.0,96,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:28,progress,,,,,,,,
9702,41.0,,41.0,97,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:28,progress,,,,,,,,
9704,8.0,,8.0,97,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:28,progress,,,,,,,,
9703,6.0,,6.0,97,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:28,progress,,,,,,,,
9707,4.0,,4.0,97,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:28,progress,,,,,,,,
9708,4.0,,4.0,97,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:28,progress,,,,,,,,
9706,2.0,,2.0,97,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:28,progress,,,,,,,,
9701,1.0,,1.0,97,IMK Triwulanan 2026 - LISTING,2026-03-10 11:42:28,progress,,,,,,,,
9471,44.0,44.0,,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-10 11:42:32,progress,,,,,,,,
9403,6.0,6.0,,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-10 11:42:32,progress,,,,,,,,
9409,5.0,5.0,,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-10 11:42:32,progress,,,,,,,,
9408,3.0,3.0,,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-10 11:42:32,progress,,,,,,,,
