kd_kab,total,OPEN,prov_id,name,time_stamp,type,COMPLETED BY Admin Kabupaten,EDITED BY Admin Kabupaten,SUBMITTED BY Pencacah,REVOKED BY Admin Kabupaten,APPROVED BY Pengawas,REJECTED BY Pengawas,EDITED BY Admin Pusat,assigned,have-not-assigned
9471,7004.0,,94,IMK Tahunan 2025 - Listing,2026-03-11 08:14:40,progress,7004.0,,,,,,,,
9420,2203.0,,94,IMK Tahunan 2025 - Listing,2026-03-11 08:14:40,progress,2203.0,,,,,,,,
9403,2171.0,,94,IMK Tahunan 2025 - Listing,2026-03-11 08:14:40,progress,2171.0,,,,,,,,
9409,1697.0,,94,IMK Tahunan 2025 - Listing,2026-03-11 08:14:40,progress,1697.0,,,,,,,,
9427,698.0,,94,IMK Tahunan 2025 - Listing,2026-03-11 08:14:40,progress,698.0,,,,,,,,
9419,575.0,,94,IMK Tahunan 2025 - Listing,2026-03-11 08:14:40,progress,575.0,,,,,,,,
9426,454.0,,94,IMK Tahunan 2025 - Listing,2026-03-11 08:14:40,progress,454.0,,,,,,,,
9408,374.0,,94,IMK Tahunan 2025 - Listing,2026-03-11 08:14:40,progress,374.0,,,,,,,,
9428,126.0,,94,IMK Tahunan 2025 - Listing,2026-03-11 08:14:40,progress,126.0,,,,,,,,
9408,1.0,,94,SURVEI TRIWULANAN PELAKU USAHA,2026-03-11 08:14:40,progress,1.0,,,,,,,,
9471,1.0,1.0,94,SURVEI TAHUNAN PERUSAHAAN LISTRIK TAHUN 2025,2026-03-11 08:14:40,progress,,,,,,,,,
9702,13.0,,97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-11 08:14:40,progress,13.0,,,,,,,,
9704,8.0,8.0,97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-11 08:14:40,progress,,,,,,,,,
9701,1.0,,97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-11 08:14:40,progress,1.0,,,,,,,,
