kd_kab,total,COMPLETED BY Admin Kabupaten,OPEN,EDITED BY Admin Kabupaten,prov_id,name,time_stamp,type,REVOKED BY Admin Kabupaten,APPROVED BY Pengawas,REJECTED BY Pengawas,SUBMITTED BY Pencacah,APPROVED BY ADMIN KABUPATEN,COMPLETED BY ADMIN PROVINSI,APPROVED BY PENGAWAS,DRAFT,SUBMITTED RESPONDENT,APPROVED BY ADMIN PROVINSI,APPROVED BY Admin Kabupaten,EDITED BY Admin Pusat,assigned,have-not-assigned
9420,2203.0,2203.0,,,94,IMK Tahunan 2025 - Listing,2026-02-20 09:26:42,progress,,,,,,,,,,,,,,
9403,2171.0,2171.0,,,94,IMK Tahunan 2025 - Listing,2026-02-20 09:26:42,progress,,,,,,,,,,,,,,
9409,1697.0,1697.0,,,94,IMK Tahunan 2025 - Listing,2026-02-20 09:26:42,progress,,,,,,,,,,,,,,
9427,698.0,698.0,,,94,IMK Tahunan 2025 - Listing,2026-02-20 09:26:42,progress,,,,,,,,,,,,,,
9419,575.0,575.0,,,94,IMK Tahunan 2025 - Listing,2026-02-20 09:26:42,progress,,,,,,,,,,,,,,
9426,454.0,454.0,,,94,IMK Tahunan 2025 - Listing,2026-02-20 09:26:42,progress,,,,,,,,,,,,,,
9408,374.0,374.0,,,94,IMK Tahunan 2025 - Listing,2026-02-20 09:26:42,progress,,,,,,,,,,,,,,
9428,126.0,126.0,,,94,IMK Tahunan 2025 - Listing,2026-02-20 09:26:42,progress,,,,,,,,,,,,,,
9419,2.0,,,,94,SURVEI TAHUNAN PERUSAHAAN PERTAMBANGAN NON MINYAK DAN GAS TAHUN 2025,2026-02-20 09:26:43,progress,,,,,2.0,,,,,,,,,
9471,1.0,,1.0,,94,SURVEI TAHUNAN PERUSAHAAN LISTRIK TAHUN 2025,2026-02-20 09:26:42,progress,,,,,,,,,,,,,,
9408,1.0,,1.0,,94,SURVEI TAHUNAN PERUSAHAAN AIR BERSIH TAHUN 2025 ,2026-02-20 09:26:43,progress,,,,,,,,,,,,,,
9409,1.0,,,,94,SURVEI TAHUNAN PERUSAHAAN AIR BERSIH TAHUN 2025 ,2026-02-20 09:26:43,progress,,,,,1.0,,,,,,,,,
9471,1.0,,,,94,SURVEI TAHUNAN PERUSAHAAN AIR BERSIH TAHUN 2025 ,2026-02-20 09:26:43,progress,,,,,1.0,,,,,,,,,
9702,32.0,,,,97,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-20 09:26:43,progress,,,,,30.0,2.0,,,,,,,,
9703,4.0,,,,97,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-20 09:26:43,progress,,,,,4.0,,,,,,,,,
9408,74.0,,74.0,,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-20 09:26:43,progress,,,,,,,,,,,,,,
9403,59.0,,,,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-20 09:26:43,progress,,,,,59.0,,,,,,,,,
9420,19.0,,17.0,,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-20 09:26:43,progress,,,,,1.0,,1.0,,,,,,,
9428,15.0,,,,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-20 09:26:43,progress,,,,,15.0,,,,,,,,,
9426,13.0,,,,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-20 09:26:43,progress,,,,,13.0,,,,,,,,,
9471,11.0,,,,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-20 09:26:43,progress,,,,,11.0,,,,,,,,,
9419,10.0,,10.0,,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-20 09:26:43,progress,,,,,,,,,,,,,,
9409,6.0,,6.0,,94,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-20 09:26:43,progress,,,,,,,,,,,,,,
9604,8.0,,8.0,,96,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-20 09:26:43,progress,,,,,,,,,,,,,,
9601,5.0,,,,96,SURVEI TAHUNAN USAHA PENGGALIAN BAHAN INDUSTRI DAN KONSTRUKSI TAHUN 2025 - URT,2026-02-20 09:26:43,progress,,,,,5.0,,,,,,,,,
9420,2.0,,,,94,SURVEI CAPTIVE POWER 2025 (CAWI),2026-02-20 09:26:43,progress,,,,,,,,1.0,1.0,,,,,
9426,2.0,,,,94,SURVEI CAPTIVE POWER 2025 (CAWI),2026-02-20 09:26:43,progress,,,,,,,,,,2.0,,,,
9409,1.0,,1.0,,94,SURVEI CAPTIVE POWER 2025 (CAWI),2026-02-20 09:26:43,progress,,,,,,,,,,,,,,
